id,kanjis_id,read_full,yomigana,okurigana,is_japanese_reading
4052,1969,ユ,ユ,,false
4053,1969,あぶら,あぶら,,true
4054,1970,ユ,ユ,,false
4055,1971,ユ,ユ,,false
4056,1972,ユ,ユ,,false
4057,1972,さと-す,さと,す,true
4058,1973,ユ,ユ,,false
4059,1974,ユ,ユ,,false
4060,1974,い-える,い,える,true
4061,1974,い-やす,い,やす,true
4062,1975,ユイ,ユイ,,false
4063,1975,イ,イ,,false
4064,1976,ユウ,ユウ,,false
4065,1976,とも,とも,,true
4066,1977,ユウ,ユウ,,false
4067,1977,ウ,ウ,,false
4068,1977,あ-る,あ,る,true
4069,1978,ユウ,ユウ,,false
4070,1978,いさ-む,いさ,む,true
4071,1979,ユウ,ユウ,,false
4072,1980,ユウ,ユウ,,false
4073,1981,ユウ,ユウ,,false
4074,1982,ユウ,ユウ,,false
4075,1982,わ-く,わ,く,true
4076,1983,ユウ,ユウ,,false
4077,1984,ユウ,ユウ,,false
4078,1985,ユウ,ユウ,,false
4079,1985,ユ,ユ,,false
4080,1985,あそ-ぶ,あそ,ぶ,true
4081,1986,ユウ,ユウ,,false
4082,1986,お,お,,true
4083,1986,おす,おす,,true
4084,1987,ユウ,ユウ,,false
4085,1987,さそ-う,さそ,う,true
4086,1988,ユウ,ユウ,,false
4087,1988,うれ-える,うれ,える,true
4088,1988,うれ-い,うれ,い,true
4089,1988,う-い,う,い,true
4090,1989,ユウ,ユウ,,false
4091,1990,ユウ,ユウ,,false
4092,1990,やさ-しい,やさ,しい,true
4093,1990,すぐ-れる,すぐ,れる,true
4094,1991,ヨ,ヨ,,false
4095,1991,あた-える,あた,える,true
4096,1992,ヨ,ヨ,,false
4097,1993,ヨ,ヨ,,false
4098,1993,あま-る,あま,る,true
4099,1993,あま-す,あま,す,true
4100,1994,ヨ,ヨ,,false
4101,1994,ほま-れ,ほま,れ,true
4102,1995,ヨ,ヨ,,false
4103,1995,あず-ける,あず,ける,true
4104,1995,あず-かる,あず,かる,true
4105,1996,ヨウ,ヨウ,,false
4106,1996,おさな-い,おさな,い,true
4107,1997,ヨウ,ヨウ,,false
4108,1997,もち-いる,もち,いる,true
4109,1998,ヨウ,ヨウ,,false
4110,1998,ひつじ,ひつじ,,true
4111,1999,ヨウ,ヨウ,,false
4112,1999,あや-しい,あや,しい,true
4113,2000,ヨウ,ヨウ,,false
4114,2001,ヨウ,ヨウ,,false
4115,2001,かなめ,かなめ,,true
4116,2001,い-る,い,る,true
4117,2002,ヨウ,ヨウ,,false
4118,2003,ヨウ,ヨウ,,false
4119,2004,ヨウ,ヨウ,,false
4120,2004,あ-げる,あ,げる,true
4121,2004,あ-がる,あ,がる,true
4122,2005,ヨウ,ヨウ,,false
4123,2005,ゆ-れる,ゆ,れる,true
4124,2005,ゆ-る,ゆ,る,true
